filename,label,iiif
Z156577207_00009_page9_01.jpg,"plants;vegetation,25G","https://iiif.onb.ac.at/images/ABO/Z156577207/00009/94,552,1312,1309/full/0/native.jpg"
Z156577207_00017_page17_01.jpg,"landscapes,25H","https://iiif.onb.ac.at/images/ABO/Z156577207/00017/159,94,1194,1466/full/0/native.jpg"
Z156577207_00019_page19_01.jpg,"landscapes,25H|animals,25F|plants;vegetation,25G","https://iiif.onb.ac.at/images/ABO/Z156577207/00019/165,68,1189,1855/full/0/native.jpg"
Z156577207_00021_page21_01.jpg,"landscapes,25H|plants;vegetation,25G","https://iiif.onb.ac.at/images/ABO/Z156577207/00021/152,49,1183,1855/full/0/native.jpg"
Z156577207_00024_page24_01.jpg,"landscapes,25H|plants;vegetation,25G","https://iiif.onb.ac.at/images/ABO/Z156577207/00024/227,78,1181,1394/full/0/native.jpg"
Z156577207_00027_page27_01.jpg,"plants;vegetation,25G","https://iiif.onb.ac.at/images/ABO/Z156577207/00027/150,34,1225,1151/full/0/native.jpg"
Z156577207_00035_page35_01.jpg,"landscapes,25H|plants;vegetation,25G","https://iiif.onb.ac.at/images/ABO/Z156577207/00035/159,26,1172,1808/full/0/native.jpg"
Z156577207_00039_page39_01.jpg,"landscapes,25H|animals,25F|plants;vegetation,25G","https://iiif.onb.ac.at/images/ABO/Z156577207/00039/153,95,1177,1802/full/0/native.jpg"
Z15657730X_00007_page7_01.jpg,"animals,25F|plants;vegetation,25G","https://iiif.onb.ac.at/images/ABO/Z15657730X/00007/68,585,1304,1306/full/0/native.jpg"
Z15657730X_00015_page15_01.jpg,"landscapes,25H|plants;vegetation,25G","https://iiif.onb.ac.at/images/ABO/Z15657730X/00015/144,128,1180,1428/full/0/native.jpg"
Z15657730X_00017_page17_01.jpg,"animals,25F|landscapes,25H|plants;vegetation,25G","https://iiif.onb.ac.at/images/ABO/Z15657730X/00017/154,85,1162,1877/full/0/native.jpg"
Z15657730X_00019_page19_01.jpg,"landscapes,25H|plants;vegetation,25G","https://iiif.onb.ac.at/images/ABO/Z15657730X/00019/199,82,1186,1873/full/0/native.jpg"
Z15657730X_00022_page22_01.jpg,"landscapes,25H|plants;vegetation,25G","https://iiif.onb.ac.at/images/ABO/Z15657730X/00022/232,116,1169,1410/full/0/native.jpg"
Z15657730X_00025_page25_01.jpg,"plants;vegetation,25G","https://iiif.onb.ac.at/images/ABO/Z15657730X/00025/160,157,1217,1101/full/0/native.jpg"
Z15657730X_00033_page33_01.jpg,"landscapes,25H|plants;vegetation,25G","https://iiif.onb.ac.at/images/ABO/Z15657730X/00033/152,162,1161,1815/full/0/native.jpg"
Z15657730X_00037_page37_01.jpg,"landscapes,25H|animals,25F|plants;vegetation,25G","https://iiif.onb.ac.at/images/ABO/Z15657730X/00037/152,150,1159,1822/full/0/native.jpg"
Z156771000_00157_page157_01.jpg,"landscapes,25H|animals,25F|plants;vegetation,25G","https://iiif.onb.ac.at/images/ABO/Z156771000/00157/168,1367,1165,625/full/0/native.jpg"
Z156771000_00325_page325_01.jpg,"plants;vegetation,25G|landscapes,25H","https://iiif.onb.ac.at/images/ABO/Z156771000/00325/178,1398,1179,633/full/0/native.jpg"
Z156843801_00002_page2_01.jpg,"plants;vegetation,25G|animals,25F","https://iiif.onb.ac.at/images/ABO/Z156843801/00002/94,208,962,1354/full/0/native.jpg"
Z156843801_00005_page5_01.jpg,"animals,25F|plants;vegetation,25G","https://iiif.onb.ac.at/images/ABO/Z156843801/00005/385,1134,365,455/full/0/native.jpg"
Z157598504_00005_page5_01.jpg,"plants;vegetation,25G","https://iiif.onb.ac.at/images/ABO/Z157598504/00005/191,845,1334,1156/full/0/native.jpg"
Z158700100_00008_page8_01.jpg,"animals,25F","https://iiif.onb.ac.at/images/ABO/Z158700100/00008/500,786,1397,1454/full/0/native.jpg"
Z15958790X_00043_page43_01.jpg,"animals,25F","https://iiif.onb.ac.at/images/ABO/Z15958790X/00043/111,364,1330,1486/full/0/native.jpg"
Z15958790X_00045_page45_01.jpg,"animals,25F","https://iiif.onb.ac.at/images/ABO/Z15958790X/00045/136,275,1307,1569/full/0/native.jpg"
Z15958790X_00092_page92_01.jpg,"animals,25F|plants;vegetation,25G","https://iiif.onb.ac.at/images/ABO/Z15958790X/00092/0,159,1667,1748/full/0/native.jpg"
Z15958790X_00110_page110_01.jpg,"plants;vegetation,25G","https://iiif.onb.ac.at/images/ABO/Z15958790X/00110/136,202,1379,1803/full/0/native.jpg"
Z15958790X_00111_page111_01.jpg,"plants;vegetation,25G","https://iiif.onb.ac.at/images/ABO/Z15958790X/00111/266,181,1118,1820/full/0/native.jpg"
Z15958790X_00113_page113_01.jpg,"animals,25F|plants;vegetation,25G","https://iiif.onb.ac.at/images/ABO/Z15958790X/00113/173,229,1309,1554/full/0/native.jpg"
Z15958790X_00126_page126_01.jpg,"landscapes,25H","https://iiif.onb.ac.at/images/ABO/Z15958790X/00126/62,183,1634,1682/full/0/native.jpg"
Z15958790X_00163_page163_01.jpg,"plants;vegetation,25G","https://iiif.onb.ac.at/images/ABO/Z15958790X/00163/261,126,1036,2008/full/0/native.jpg"
Z15958790X_00164_page164_01.jpg,"plants;vegetation,25G","https://iiif.onb.ac.at/images/ABO/Z15958790X/00164/425,146,1055,1789/full/0/native.jpg"
Z15958790X_00165_page165_01.jpg,"plants;vegetation,25G","https://iiif.onb.ac.at/images/ABO/Z15958790X/00165/228,115,1142,2040/full/0/native.jpg"
Z15958790X_00166_page166_01.jpg,"plants;vegetation,25G","https://iiif.onb.ac.at/images/ABO/Z15958790X/00166/417,196,1009,1806/full/0/native.jpg"
Z15958790X_00169_page169_01.jpg,"plants;vegetation,25G","https://iiif.onb.ac.at/images/ABO/Z15958790X/00169/180,69,1225,2024/full/0/native.jpg"
Z15958790X_00170_page170_01.jpg,"plants;vegetation,25G","https://iiif.onb.ac.at/images/ABO/Z15958790X/00170/479,52,917,1808/full/0/native.jpg"
Z15958790X_00171_page171_01.jpg,"plants;vegetation,25G","https://iiif.onb.ac.at/images/ABO/Z15958790X/00171/144,77,1148,1960/full/0/native.jpg"
Z15958790X_00172_page172_01.jpg,"plants;vegetation,25G","https://iiif.onb.ac.at/images/ABO/Z15958790X/00172/419,104,1173,1899/full/0/native.jpg"
Z15958790X_00174_page174_01.jpg,"plants;vegetation,25G","https://iiif.onb.ac.at/images/ABO/Z15958790X/00174/122,83,1400,2053/full/0/native.jpg"
