UUID,FILE,ANCHOR,TAGS,Pelagios_URL,iiif;
"e7643e7a-1865-4e01-a7e2-980e8690f645,Z174856609_00457_page457_01.jpg,""rect:x=279,y=365,w=210,h=302"",groups_of_animals_25F1|animals_25F,https://recogito.pelagios.org/api/annotation/e7643e7a-1865-4e01-a7e2-980e8690f645.jpg,""https://iiif.onb.ac.at/images/ABO/Z174856609/00457/691,2098,734,937/full/0/native.jpg""";
"178baaba-eb26-465d-bc25-629d81b6c10b,Z174856609_00457_page457_01.jpg,""rect:x=493,y=263,w=224,h=321"",plants";"vegetation_25G,https://recogito.pelagios.org/api/annotation/178baaba-eb26-465d-bc25-629d81b6c10b.jpg,""https://iiif.onb.ac.at/images/ABO/Z174856609/00457/691,2098,734,937/full/0/native.jpg"""
"6f1a96d9-2b5e-44b3-a121-91396fd2cd63,Z174856609_00457_page457_01.jpg,""rect:x=45,y=243,w=263,h=310"",plants";"vegetation_25G,https://recogito.pelagios.org/api/annotation/6f1a96d9-2b5e-44b3-a121-91396fd2cd63.jpg,""https://iiif.onb.ac.at/images/ABO/Z174856609/00457/691,2098,734,937/full/0/native.jpg"""
"8b451767-542e-4ca1-968f-b1d653578e91,Z174856609_00457_page457_01.jpg,""rect:x=272,y=614,w=218,h=123"",animals_25F,https://recogito.pelagios.org/api/annotation/8b451767-542e-4ca1-968f-b1d653578e91.jpg,""https://iiif.onb.ac.at/images/ABO/Z174856609/00457/691,2098,734,937/full/0/native.jpg""";
"762a8900-cddc-4952-91db-3f27b75e71ae,Z174856609_00457_page457_01.jpg,""rect:x=155,y=26,w=498,h=353"",animals_25F,https://recogito.pelagios.org/api/annotation/762a8900-cddc-4952-91db-3f27b75e71ae.jpg,""https://iiif.onb.ac.at/images/ABO/Z174856609/00457/691,2098,734,937/full/0/native.jpg""";
"109d44e0-3dd3-45d9-b25d-e21b678117ec,Z168091302_00087_page87_01.jpg,""tbox:x=117,y=280,a=0.12435499454676144,l=234,h=-40"",groups_of_plants_25G13,https://recogito.pelagios.org/api/annotation/109d44e0-3dd3-45d9-b25d-e21b678117ec.jpg,""https://iiif.onb.ac.at/images/ABO/Z168091302/00087/52,87,1494,1242/full/0/native.jpg""";
"50d1ba3c-4542-4407-8037-62b7976241af,Z168091302_00087_page87_01.jpg,""rect:x=26,y=459,w=451,h=731"",animals_25F,https://recogito.pelagios.org/api/annotation/50d1ba3c-4542-4407-8037-62b7976241af.jpg,""https://iiif.onb.ac.at/images/ABO/Z168091302/00087/52,87,1494,1242/full/0/native.jpg""";
"6e652984-954e-4305-b96b-4a686d0fdd8b,Z168091302_00087_page87_01.jpg,""tbox:x=995,y=340,a=0.020686703779844145,l=290,h=-76"",groups_of_plants_25G13,https://recogito.pelagios.org/api/annotation/6e652984-954e-4305-b96b-4a686d0fdd8b.jpg,""https://iiif.onb.ac.at/images/ABO/Z168091302/00087/52,87,1494,1242/full/0/native.jpg""";
"13273645-3952-4f10-8247-f27ce5b4dcdc,Z168091302_00087_page87_01.jpg,""tbox:x=230,y=351,a=0.22075227619320134,l=260,h=-58"",groups_of_plants_25G13,https://recogito.pelagios.org/api/annotation/13273645-3952-4f10-8247-f27ce5b4dcdc.jpg,""https://iiif.onb.ac.at/images/ABO/Z168091302/00087/52,87,1494,1242/full/0/native.jpg""";
